data_type;;;precip;precip;precip;precip;precip;precip;precip;precip_max;precip_max;precip_max;precip_max;precip_max;precip_max;precip_max;temp;temp;temp;temp;temp;temp;temp;wind;wind;wind;wind;wind;wind;wind;snow_depth;snow_depth;snow_depth;snow_depth;snow_depth;snow_depth;snow_depth;new_snow;new_snow;new_snow;new_snow;new_snow;new_snow;new_snow;new_snow_max;new_snow_max;new_snow_max;new_snow_max;new_snow_max;new_snow_max;new_snow_max
attr;;;0;5;25;50;75;95;100;0;5;25;50;75;95;100;0;5;25;50;75;95;100;0;5;25;50;75;95;100;0;5;25;50;75;95;100;0;5;25;50;75;95;100;0;5;25;50;75;95;100
region;date;elevation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3010;2019-09-01;0-300;0.0;0.0;0.2;1.2;4.3;8.51;11.7;5.0;5.4;6.7;7.95;8.8;10.3;11.0;9.4;10.5;12.3;17.6;18.9;19.7;21.1;0.0;0.0;0.0;0.0;4.0;9.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-01;300-600;0.0;0.0;0.2;1.2;4.3;8.51;11.7;5.0;5.4;6.7;7.95;8.8;10.3;11.0;9.4;10.4;13.1;16.4;17.6;18.8;20.6;0.0;0.0;0.0;4.0;9.0;12.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-01;600-900;0.0;0.0;0.2;1.2;4.3;8.51;11.7;5.0;5.4;6.7;7.95;8.8;10.3;11.0;9.2;10.8;12.4;14.5;15.7;16.9;19.4;0.0;0.0;0.0;4.0;9.0;12.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-01;900-1200;0.0;0.0;0.2;1.2;4.3;8.51;11.7;5.0;5.4;6.7;7.95;8.8;10.3;11.0;7.4;9.5;10.9;12.4;13.7;15.0;17.0;0.0;0.0;0.0;4.0;9.0;12.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-01;1200-1500;0.0;0.0;0.2;1.2;4.3;8.51;11.7;5.0;5.4;6.7;7.95;8.8;10.3;11.0;4.2;7.0;8.7;10.0;11.3;12.6;14.4;0.0;0.0;0.0;4.0;9.0;12.0;16.0;0.0;0.0;0.0;0.0;0.0;107.55;636.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-02;0-300;4.0;5.3;7.5;8.9;11.0;12.4;13.3;11.1;11.34;12.0;12.6;12.7;12.9;13.1;7.5;9.2;10.5;11.6;12.8;13.6;14.3;0.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-02;300-600;4.0;5.3;7.5;8.9;11.0;12.4;13.3;11.1;11.34;12.0;12.6;12.7;12.9;13.1;6.0;7.5;9.1;10.4;11.6;12.7;13.9;0.0;0.0;0.0;0.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-02;600-900;4.0;5.3;7.5;8.9;11.0;12.4;13.3;11.1;11.34;12.0;12.6;12.7;12.9;13.1;3.7;6.0;7.7;9.1;10.1;11.5;13.5;0.0;0.0;0.0;0.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-02;900-1200;4.0;5.3;7.5;8.9;11.0;12.4;13.3;11.1;11.34;12.0;12.6;12.7;12.9;13.1;1.8;4.2;5.9;7.3;8.5;10.1;13.1;0.0;0.0;0.0;0.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-02;1200-1500;4.0;5.3;7.5;8.9;11.0;12.4;13.3;11.1;11.34;12.0;12.6;12.7;12.9;13.1;-1.6;1.7;3.7;5.2;6.7;8.6;11.4;0.0;0.0;0.0;0.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;106.7;638.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-03;0-300;0.0;0.0;0.0;0.0;0.0;0.9;1.5;0.2;0.5;0.7;0.9;1.1;1.3;1.4;5.5;7.7;9.4;11.7;13.4;14.8;16.1;0.0;0.0;0.0;4.0;4.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3010;2019-09-03;300-600;0.0;0.0;0.0;0.0;0.0;0.9;1.5;0.2;0.5;0.7;0.9;1.1;1.3;1.4;4.8;6.3;8.2;10.1;11.7;13.4;15.5;0.0;0.0;0.0;4.0;4.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
