Navn;Stasjon;Tid(norsk normaltid);Snødybde;Nedbør (døgn)
Ytre Holmebukt;SN91080;01.11.2019;14;2,5
Ytre Holmebukt;SN91080;02.11.2019;14;0,9
Ytre Holmebukt;SN91080;03.11.2019;19;2,2
Ytre Holmebukt;SN91080;04.11.2019;19;0,2
Ytre Holmebukt;SN91080;05.11.2019;23;4,6
Ytre Holmebukt;SN91080;06.11.2019;23;0,1
Ytre Holmebukt;SN91080;07.11.2019;23;0
Ytre Holmebukt;SN91080;08.11.2019;23;0
Ytre Holmebukt;SN91080;09.11.2019;23;0
Ytre Holmebukt;SN91080;10.11.2019;22;0
Ytre Holmebukt;SN91080;11.11.2019;22;0
Ytre Holmebukt;SN91080;12.11.2019;21;0
Ytre Holmebukt;SN91080;13.11.2019;21;0
Ytre Holmebukt;SN91080;14.11.2019;21;0
Ytre Holmebukt;SN91080;15.11.2019;20;0
Ytre Holmebukt;SN91080;16.11.2019;17;0,1
Ytre Holmebukt;SN91080;17.11.2019;17;0
Ytre Holmebukt;SN91080;18.11.2019;17;0
Ytre Holmebukt;SN91080;19.11.2019;16;0,3
Ytre Holmebukt;SN91080;20.11.2019;15;0
Ytre Holmebukt;SN91080;21.11.2019;12;0
Ytre Holmebukt;SN91080;22.11.2019;12;0
Ytre Holmebukt;SN91080;23.11.2019;10;0
Ytre Holmebukt;SN91080;24.11.2019;5;0,4
Ytre Holmebukt;SN91080;25.11.2019;0;1,4
Ytre Holmebukt;SN91080;26.11.2019;0;1,3
Ytre Holmebukt;SN91080;27.11.2019;6;2,9
Ytre Holmebukt;SN91080;28.11.2019;5;0
Ytre Holmebukt;SN91080;29.11.2019;5;0
Ytre Holmebukt;SN91080;30.11.2019;19;10,5
Ytre Holmebukt;SN91080;01.12.2019;53;24,9
Ytre Holmebukt;SN91080;02.12.2019;62;18,5
Ytre Holmebukt;SN91080;03.12.2019;73;16
Ytre Holmebukt;SN91080;04.12.2019;48;10,4
